CenterX,CenterY,Eccentricity,KurtosisX,KurtosisY,GrdGrid1_x,GrdGrid1_y,GrdGrid2_x,GrdGrid2_y,GrdGrid3_x,GrdGrid3_y,GrdGrid4_x,GrdGrid4_y,GrdGrid1_5,GrdGrid5_y,GrdGrid6_x,GrdGrid6_y,GrdGrid7_x,GrdGrid7_y,GrdGrid8_x,GrdGrid8_y,PressGrid1,PressGrid2,PressGrid3,PressGrid4,PressGrid5,PressGrid6,PressGrid7,PressGrid8,PressGrid9,PressGrid10,PressGrid11,PressGrid12,PressGrid13,PressGrid14,PressGrid15,PressGrid16,Label
152.0,283.0,0.9603,0.6497,-0.904,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,-0.5,0.0,-0.5,0.0,0.5,-0.5,102.127,103.158,103.004,103.15,101.93,101.052,101.523,102.511,101.87,97.268,93.598,93.332,97.924,99.5,99.924,101.672,1
180.0,263.0,0.9543,-0.2649,-0.9952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5,102.218,103.25,103.25,103.25,102.414,101.978,103.448,103.447,99.145,96.656,97.936,98.846,98.323,99.592,99.293,98.104,1
144.0,256.0,0.9274,2.3474,-1.0581,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-0.5,0.5,-0.5,0.5,102.031,102.613,103.091,103.092,101.711,98.231,101.114,102.645,94.53,92.565,92.639,93.924,101.885,102.451,100.592,101.229,1
157.0,246.0,0.9611,4.973,-1.0886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,-0.5,-0.5,0.0,0.0,0.5,-0.5,102.218,103.25,103.25,103.25,102.443,100.698,103.496,103.523,96.198,95.391,93.632,93.519,101.615,101.427,100.405,101.286,1
149.0,272.0,0.961,2.5395,-0.8389,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,-0.5,0.5,-1.0,1.0,-0.5,0.5,0.5,-0.5,102.218,103.25,103.25,103.25,102.633,102.537,102.126,103.659,96.908,95.293,90.336,93.522,102.612,103.527,102.563,101.466,1
148.0,230.0,0.9491,0.998,-0.5635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,2.0,-1.0,0.0,0.0,-0.5,0.5,102.218,103.25,103.25,103.25,102.09,100.896,103.255,103.16,96.664,91.609,94.221,93.532,102.201,102.404,102.084,102.886,1
165.0,252.0,0.8893,48.7523,-1.2489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,0.5,-0.5,100.624,101.548,102.432,102.432,101.333,102.99,102.997,102.997,93.953,96.84,98.05,97.765,101.811,102.966,102.844,102.677,1
172.0,279.0,0.9299,-0.5622,-0.8081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,102.134,103.073,103.165,103.166,101.968,99.339,102.647,102.995,101.045,98.991,97.525,96.585,96.657,97.921,97.41,98.112,1
151.0,270.0,0.9484,0.8011,-1.2942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,101.805,101.491,102.832,102.833,100.447,97.511,101.126,102.999,95.746,95.668,95.075,93.335,101.957,102.148,101.224,100.712,1
157.0,264.0,0.9688,6.3805,-1.1695,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,-0.5,0.5,-0.5,-1.0,0.5,-0.5,-0.5,0.5,102.218,103.25,103.25,103.25,102.167,100.665,103.216,103.212,96.302,93.403,93.317,94.037,102.183,103.204,101.683,101.64,1
135.0,239.0,0.9672,2.723,-0.8966,1.5,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,102.056,102.587,103.096,103.094,100.999,98.154,100.759,102.399,95.704,93.353,91.558,95.123,101.953,102.992,102.993,102.993,1
148.0,265.0,0.922,10.8055,-0.8759,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,-1.0,1.0,102.003,102.343,102.913,103.033,101.962,100.959,102.798,103.0,94.375,93.15,92.256,92.034,101.969,102.448,101.311,102.713,1
154.0,266.0,0.947,7.8537,-0.9108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,0.5,-0.5,0.5,-0.5,102.218,103.25,103.25,103.25,102.284,101.682,102.711,103.314,98.08,94.31,94.437,93.493,102.282,103.082,101.472,103.176,1
174.0,274.0,0.9524,4.9585,-1.0941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-1.5,-0.5,0.5,-0.5,0.5,102.002,102.59,102.649,103.029,101.95,100.863,102.904,102.997,101.322,96.785,97.319,98.739,98.176,98.612,97.774,97.272,1
151.0,232.0,0.9328,0.988,-1.1375,-0.5,0.5,-0.5,0.5,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,-1.0,1.0,-1.5,0.5,102.218,103.25,103.25,103.25,98.424,97.824,101.636,102.022,92.646,92.667,90.987,92.696,101.261,100.419,100.509,99.984,1
151.0,266.0,0.9562,5.4932,-0.9966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,-1.5,1.5,101.705,102.537,101.603,102.745,101.941,100.901,102.958,102.942,98.854,95.16,91.749,92.64,101.923,101.487,101.193,102.323,1
156.0,270.0,0.9456,2.0181,-1.1654,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.5,0.0,0.0,101.635,101.5,102.481,102.665,101.956,100.277,102.753,102.999,95.464,96.149,94.905,96.53,101.97,99.624,98.126,97.871,1
147.0,269.0,0.934,3.6081,-1.1318,0.0,0.0,-0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-3.0,2.0,0.0,0.0,-0.5,0.5,102.218,103.25,103.25,103.25,101.343,100.469,101.425,103.007,97.18,92.681,93.188,92.728,101.973,101.66,100.538,101.088,1
158.0,278.0,0.9241,4.4603,-0.9931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-1.0,1.5,0.0,102.036,102.474,103.065,103.065,101.969,101.112,102.998,102.993,97.544,94.781,93.209,95.496,101.97,101.692,101.348,100.269,1
