CenterX,CenterY,Eccentricity,KurtosisX,KurtosisY,GrdGrid1_x,GrdGrid1_y,GrdGrid2_x,GrdGrid2_y,GrdGrid3_x,GrdGrid3_y,GrdGrid4_x,GrdGrid4_y,GrdGrid1_5,GrdGrid5_y,GrdGrid6_x,GrdGrid6_y,GrdGrid7_x,GrdGrid7_y,GrdGrid8_x,GrdGrid8_y,PressGrid1,PressGrid2,PressGrid3,PressGrid4,PressGrid5,PressGrid6,PressGrid7,PressGrid8,PressGrid9,PressGrid10,PressGrid11,PressGrid12,PressGrid13,PressGrid14,PressGrid15,PressGrid16,Label
140.0,226.0,0.8701,-0.1115,-0.9897,0.0,0.0,-0.5,0.5,0.0,0.0,-2.0,1.5,0.0,0.0,0.0,1.0,1.0,-1.0,-0.5,0.5,102.218,103.25,103.25,103.25,101.406,97.234,101.774,97.316,102.542,91.206,91.382,99.103,103.07,95.616,103.033,103.028,4
124.0,230.0,0.5817,0.4011,-0.6645,0.0,0.0,0.0,0.0,-0.5,0.5,-1.0,1.0,0.0,0.0,0.0,0.0,-2.5,1.0,0.0,-1.0,102.218,98.241,101.447,102.129,103.95,85.444,100.242,87.43,103.95,96.543,85.284,102.244,103.95,98.4,99.812,103.106,4
132.0,211.0,0.8066,0.8118,-0.7223,0.0,0.0,3.0,-3.0,1.0,0.5,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,102.144,102.802,102.89,102.819,101.163,94.53,101.468,95.677,102.321,92.716,92.044,102.16,103.106,98.739,102.656,102.97,4
131.0,216.0,0.8094,1.0069,-0.7071,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,-0.5,0.5,102.203,103.03,103.098,103.03,103.108,95.92,101.27,96.048,103.721,90.384,93.744,101.619,102.885,98.911,102.722,102.992,4
134.0,228.0,0.8201,0.8422,-0.88,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,-0.5,-0.5,-0.5,102.037,102.157,102.687,102.685,100.742,94.557,99.979,97.635,102.494,92.148,91.391,97.427,103.107,96.412,102.851,102.96,4
136.0,247.0,0.7383,0.2894,-1.0,0.0,0.0,-0.5,0.5,-1.5,1.5,-0.5,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,102.206,102.417,102.568,102.798,103.813,90.824,99.789,92.22,103.834,95.194,87.35,95.256,103.899,97.901,97.635,102.956,4
123.0,236.0,0.7177,1.7901,-1.0815,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,-1.0,102.094,101.656,101.814,102.395,101.581,93.13,99.063,93.723,103.532,97.148,94.139,99.909,103.647,97.621,102.996,102.986,4
140.0,222.0,0.6763,-0.5117,-0.4219,0.0,0.0,0.5,-0.5,0.0,-1.0,0.5,-0.5,0.0,0.0,-0.5,0.5,3.5,-3.5,0.0,0.0,102.218,101.973,102.251,102.377,103.95,89.568,98.475,88.228,103.95,89.68,87.461,103.053,103.95,95.643,96.875,103.102,4
122.0,226.0,0.729,0.9961,-0.6324,0.0,0.0,-1.0,1.0,-1.0,1.0,-0.5,0.5,0.0,0.0,-0.5,0.5,0.0,0.0,-0.5,0.5,102.214,101.552,102.608,101.97,103.939,91.08,96.453,91.136,103.939,91.218,94.69,101.675,103.94,100.355,100.852,102.975,4
139.0,223.0,0.8574,-0.3117,-0.1288,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,-2.5,-1.5,0.0,-0.5,0.5,102.218,103.25,103.25,103.25,103.502,97.375,100.942,97.905,103.498,90.374,91.372,100.818,101.486,96.181,102.244,103.0,4
