CenterX,CenterY,Eccentricity,KurtosisX,KurtosisY,GrdGrid1_x,GrdGrid1_y,GrdGrid2_x,GrdGrid2_y,GrdGrid3_x,GrdGrid3_y,GrdGrid4_x,GrdGrid4_y,GrdGrid1_5,GrdGrid5_y,GrdGrid6_x,GrdGrid6_y,GrdGrid7_x,GrdGrid7_y,GrdGrid8_x,GrdGrid8_y,PressGrid1,PressGrid2,PressGrid3,PressGrid4,PressGrid5,PressGrid6,PressGrid7,PressGrid8,PressGrid9,PressGrid10,PressGrid11,PressGrid12,PressGrid13,PressGrid14,PressGrid15,PressGrid16,Label
139.0,244.0,0.6514,0.4853,-0.354,0.0,0.0,3.0,-3.0,0.5,-0.5,-0.5,0.5,0.0,0.0,0.0,0.0,0.5,-0.5,0.5,-0.5,102.218,101.915,102.131,102.556,103.95,96.195,99.156,98.097,103.95,99.808,87.858,96.875,103.95,102.729,97.805,103.07,4
150.0,227.0,0.7145,0.3991,-0.2694,0.0,0.0,-1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5,-2.5,3.5,1.5,-1.5,102.218,102.487,102.829,102.854,103.95,94.002,102.068,102.822,103.95,94.484,91.592,94.97,103.95,99.836,101.686,103.108,4
138.0,234.0,0.7488,0.547,-0.4077,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-3.0,0.0,0.0,102.218,103.25,103.25,103.25,103.95,96.215,99.998,100.419,103.95,97.197,90.489,98.38,103.95,103.329,97.38,103.341,4
140.0,228.0,0.8708,-0.2414,-0.6067,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,102.218,103.25,103.25,103.25,103.812,94.645,102.735,99.331,103.9,93.162,91.654,96.419,103.911,98.102,102.621,103.477,4
129.0,231.0,0.6,0.4367,-0.4274,0.0,0.0,0.0,0.0,0.5,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,-1.5,0.5,102.218,100.795,101.548,102.275,103.95,93.125,97.108,98.323,103.95,98.139,89.707,100.389,103.95,100.964,98.894,103.089,4
137.0,235.0,0.7225,-0.013,-0.0964,0.0,0.0,4.0,-4.0,1.0,-1.0,1.0,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.218,103.25,103.25,103.25,103.95,94.119,99.389,97.759,103.95,99.574,84.844,100.794,103.95,102.645,97.146,103.547,4
136.0,233.0,0.7027,0.5551,-0.4539,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,-0.5,0.5,102.218,103.157,103.131,103.125,103.95,97.271,100.645,98.438,103.95,96.999,90.86,101.421,103.95,101.634,99.788,103.409,4
138.0,228.0,0.607,-0.0149,-0.1801,0.0,0.0,1.5,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5,102.218,101.914,102.53,102.764,103.95,90.913,101.22,99.663,103.95,95.816,86.608,97.964,103.95,100.743,98.407,103.246,4
137.0,239.0,0.5759,-0.1395,-0.0572,0.0,0.0,-3.0,3.0,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,11.5,2.0,-2.0,102.218,102.354,101.867,102.699,103.95,96.12,97.806,98.283,103.95,102.225,87.729,97.737,103.95,101.737,96.824,103.307,4
136.0,229.0,0.8614,0.2907,-0.9807,0.0,0.0,0.5,-0.5,0.0,0.0,-0.5,1.5,0.0,0.0,-8.0,8.0,-0.5,0.5,-2.0,1.0,102.087,102.342,102.924,102.93,99.644,95.76,100.646,99.328,103.081,84.612,94.863,95.091,103.122,95.283,101.969,102.718,4
140.0,230.0,0.8145,0.5402,-0.1708,0.0,0.0,0.0,1.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.5,-0.5,102.218,103.25,103.25,103.25,103.95,96.222,100.811,98.809,103.95,94.454,90.785,97.199,103.95,101.462,98.44,103.088,4
122.0,235.0,0.7182,0.2696,-0.626,0.0,0.0,1.0,-0.5,-0.5,0.5,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,101.943,99.336,102.567,101.53,103.715,92.228,97.069,96.195,103.81,96.529,94.429,100.22,103.814,101.368,97.935,102.948,4
142.0,233.0,0.5218,-0.4586,-0.2215,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.5,-2.0,0.5,0.5,102.218,102.132,102.617,102.835,103.95,93.023,101.758,98.768,103.95,98.435,88.189,100.179,103.95,100.858,95.331,103.487,4
131.0,239.0,0.2955,1.0436,-0.5173,0.0,0.0,0.0,0.0,-2.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,102.218,101.664,102.013,102.83,103.95,94.672,95.961,98.533,103.95,101.606,87.766,99.712,103.95,103.567,98.81,103.703,4
132.0,223.0,0.7326,0.0983,0.0648,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,102.171,102.074,102.633,102.573,103.412,93.81,99.394,97.327,103.8,96.081,90.563,101.969,103.8,99.571,101.155,103.0,4
128.0,243.0,0.6072,0.5434,-0.5283,0.0,0.0,0.0,0.0,-1.5,1.5,-0.5,0.5,0.0,0.0,0.0,0.0,5.5,-5.0,0.5,-0.5,102.218,99.188,102.254,102.301,103.95,91.731,98.953,97.241,103.95,100.86,90.547,97.652,103.95,103.046,98.353,103.023,4
142.0,235.0,0.4947,-0.2692,-0.4353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.5,4.5,-4.5,102.218,101.026,102.343,102.653,103.95,93.063,101.237,102.837,103.95,100.286,88.839,95.67,103.95,100.743,96.231,103.41,4
140.0,240.0,0.5191,-0.0458,-0.3351,0.0,0.0,-0.5,0.5,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.5,102.218,102.239,102.554,102.958,103.95,94.564,97.343,103.548,103.95,103.061,85.207,94.448,103.95,102.887,96.617,103.552,4
136.0,231.0,0.4967,0.2297,-0.4012,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.218,99.002,102.261,102.408,103.95,97.008,100.273,100.458,103.95,98.083,89.868,98.482,103.95,101.233,99.114,103.282,4
126.0,223.0,0.6407,0.3907,-0.3809,0.0,0.0,-1.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-1.5,1.0,0.0,101.36,96.243,102.01,102.013,103.469,91.626,98.379,95.861,103.678,93.05,93.644,99.731,103.677,101.061,97.792,102.906,4
136.0,229.0,0.6626,0.1095,0.1148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.5,-1.5,102.218,103.019,103.03,103.094,103.95,95.287,99.255,99.731,103.95,99.763,90.503,100.489,103.95,101.631,98.628,103.57,4
123.0,249.0,0.7862,0.621,-0.9055,0.0,0.0,2.0,-2.0,0.0,0.0,-1.5,1.5,0.0,0.0,0.0,0.0,1.5,-1.5,0.0,0.0,102.213,103.043,103.066,102.626,103.859,96.036,97.917,93.103,103.9,97.782,94.722,102.486,103.9,101.458,99.195,102.999,4
125.0,237.0,0.6334,0.4452,-0.4277,0.0,0.0,0.5,-0.5,0.0,0.0,1.5,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.218,102.436,102.496,101.278,103.95,94.49,96.34,95.029,103.95,97.998,93.828,103.101,103.95,101.627,99.595,103.107,4
139.0,243.0,0.7124,0.2525,-0.825,0.0,0.0,0.5,-0.5,-1.5,1.0,-0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,-4.5,4.5,102.218,102.992,102.493,102.984,103.95,94.915,99.553,98.863,103.95,97.671,87.418,95.046,103.95,102.385,96.902,103.152,4
165.0,136.0,0.8548,0.134,0.8366,0.0,0.0,1.0,0.5,0.0,0.0,0.5,-0.5,-0.5,0.5,0.0,0.0,-0.5,0.5,0.0,0.0,101.31,101.838,100.712,102.332,101.969,99.746,102.269,101.136,97.64,90.227,99.269,102.105,86.88,99.781,102.996,102.993,12
187.0,204.0,0.8741,0.0448,-0.5266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.177,102.198,102.195,100.034,101.969,102.996,100.104,100.927,101.96,99.625,97.342,100.803,97.314,89.448,97.942,101.474,12
169.0,208.0,0.8786,0.0232,-0.2394,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,101.277,102.299,102.284,99.975,101.966,102.999,99.055,101.4,101.963,96.356,94.997,99.62,95.314,89.177,99.451,102.998,12
181.0,181.0,0.8943,-0.5098,-0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,101.77,102.799,102.061,102.799,101.969,102.656,99.821,101.686,101.969,98.82,99.968,101.717,96.532,93.914,101.091,102.999,12
177.0,203.0,0.8426,-0.6373,-0.9283,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.5,0.0,0.0,0.0,0.0,100.712,101.733,98.72,101.299,101.968,101.792,100.181,101.205,101.943,97.682,99.02,100.6,92.79,88.504,100.588,102.996,12
163.0,157.0,0.8477,-0.2318,-0.1668,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,-0.5,0.5,0.5,-0.5,0.0,0.0,100.847,101.867,97.55,101.865,101.969,100.028,100.884,100.734,99.073,91.173,94.516,101.181,85.99,97.965,103.0,103.0,12
182.0,197.0,0.8122,-0.1865,-0.0888,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,1.5,0.0,1.5,-0.5,0.0,0.0,100.365,101.393,100.842,97.547,101.952,102.989,98.193,100.481,101.966,97.634,92.974,100.596,97.025,83.171,98.538,102.998,12
158.0,150.0,0.8841,-0.3078,0.4827,0.0,0.0,0.5,0.0,0.0,0.0,-0.5,0.5,0.0,0.5,0.0,0.0,2.0,-2.0,-0.5,0.5,101.375,102.4,100.157,102.397,101.965,99.373,101.502,100.149,96.087,90.019,98.393,102.281,88.22,99.822,102.994,102.996,12
188.0,224.0,0.7609,-0.1557,-0.2837,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-0.5,0.0,0.0,0.0,0.0,-0.5,0.5,-0.5,0.5,100.665,101.246,101.146,95.442,102.399,102.972,98.352,101.638,102.382,101.571,96.57,97.596,102.392,90.146,86.376,101.799,12
191.0,166.0,0.7946,1.8018,0.2978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,100.368,101.278,98.508,99.838,102.068,101.859,100.27,102.957,102.075,96.854,97.192,99.886,94.732,88.234,100.653,102.984,12
164.0,192.0,0.8878,-0.3949,0.5732,0.0,0.0,0.0,0.0,1.0,-1.0,-0.5,0.0,0.0,0.0,-1.0,1.0,-0.5,0.5,-0.5,0.5,101.408,102.426,101.138,101.351,101.962,102.172,97.95,101.138,101.954,89.154,95.51,100.876,92.213,88.989,101.976,102.981,12
185.0,166.0,0.8586,1.3862,-0.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.5,-0.5,0.0,0.0,101.108,102.133,100.734,101.087,101.97,102.263,99.45,102.833,101.931,97.946,98.396,99.975,90.931,89.735,101.265,103.0,12
191.0,162.0,0.9109,0.5025,0.8223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,0.5,-0.5,101.772,102.8,102.8,102.015,101.969,102.953,100.206,101.867,101.965,97.79,100.044,100.77,93.043,90.263,99.225,103.0,12
156.0,177.0,0.9081,-0.6564,0.5743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,101.736,102.76,101.276,102.763,101.965,100.758,98.687,100.049,99.63,87.269,96.498,102.067,89.267,95.669,102.232,103.0,12
186.0,231.0,0.8251,2.0507,-0.9015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,100.551,101.565,101.04,97.814,101.966,102.993,99.694,101.614,101.959,101.198,95.477,98.716,95.456,88.058,95.63,102.597,12
182.0,195.0,0.8672,-0.3842,-0.3486,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.088,102.126,101.297,99.799,101.963,102.722,98.825,101.134,101.96,97.986,95.582,100.109,92.907,89.864,96.933,102.995,12
151.0,164.0,0.8718,-0.1561,0.6766,0.0,0.0,0.5,-0.5,0.5,-0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-1.0,1.0,0.0,0.0,101.174,102.197,99.489,102.197,101.954,100.28,99.935,99.468,94.596,85.996,98.761,102.998,92.248,100.309,102.993,102.997,12
173.0,170.0,0.8707,-0.0852,-0.0383,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,-1.0,1.0,0.0,0.0,-0.5,0.5,101.142,102.163,99.972,102.163,101.965,100.908,101.286,100.912,101.49,92.644,97.441,101.389,87.674,94.932,102.998,102.999,12
185.0,195.0,0.8888,1.4296,-0.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,-1.0,1.0,0.5,-0.5,101.401,102.427,102.271,100.786,101.959,102.997,99.72,102.364,101.951,99.698,97.644,99.96,96.289,90.891,100.307,102.997,12
169.0,171.0,0.8829,-0.3593,-0.1997,0.0,0.0,0.0,0.0,-0.5,0.5,1.0,0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,101.34,102.356,100.254,102.363,101.968,101.728,99.816,101.83,101.445,94.293,99.063,100.839,89.163,95.28,103.0,102.999,12
170.0,176.0,0.897,0.0755,-0.5049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,-1.0,1.0,0.0,0.0,101.671,102.7,101.748,102.699,101.969,102.072,100.34,102.139,101.451,93.317,98.25,100.972,92.559,96.118,102.992,102.999,12
178.0,165.0,0.8654,0.8974,-0.4519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,101.039,102.065,99.828,101.796,101.969,101.862,99.957,102.999,101.756,95.265,97.809,99.941,90.08,95.616,102.999,103.0,12
145.0,193.0,0.8955,-0.7099,-0.1815,0.0,0.0,0.0,0.0,1.5,0.0,-0.5,0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.0,0.0,101.53,102.563,101.27,102.562,101.953,100.491,99.888,99.671,100.396,88.212,98.453,102.981,93.893,98.945,102.994,102.99,12
185.0,233.0,0.8464,-0.5805,-0.3951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,0.0,0.5,-0.5,0.5,-0.5,0.5,-0.5,100.779,101.784,101.776,98.566,101.967,102.995,99.73,99.767,101.951,100.539,94.298,101.106,98.029,90.698,93.931,99.374,12
165.0,204.0,0.9035,-0.3821,-1.0685,0.5,0.5,0.0,0.0,0.0,0.0,-0.5,0.5,0.5,0.5,1.0,-1.0,-0.5,-0.5,0.0,0.0,100.705,99.382,102.692,102.67,93.522,96.924,101.438,96.349,93.813,96.81,87.858,92.204,87.031,89.148,86.274,92.747,6
175.0,209.0,0.9134,1.2329,-0.9338,0.5,-0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,101.103,102.828,102.832,102.832,97.316,100.906,100.706,102.71,97.168,94.605,94.089,95.098,88.972,92.259,88.125,93.862,6
162.0,225.0,0.9266,0.0404,-1.1315,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.5,0.5,0.5,1.0,0.0,1.0,0.0,101.874,103.089,103.098,103.098,95.6,97.667,100.171,98.495,95.701,89.653,84.254,83.364,86.888,95.278,91.242,96.793,6
156.0,213.0,0.9147,0.226,-1.0362,0.0,0.0,-0.5,0.5,2.0,-3.0,-1.0,1.0,0.0,0.5,1.0,-1.0,0.0,0.5,0.0,0.0,101.073,102.184,102.8,102.832,96.978,99.837,98.435,99.363,96.07,90.833,87.028,87.855,89.542,96.696,95.938,100.343,6
165.0,256.0,0.8687,-0.7046,-1.1895,-0.5,0.5,1.0,-1.5,0.0,0.0,0.5,0.5,0.0,0.0,3.0,-3.0,0.5,-0.5,-1.0,1.5,100.953,102.085,102.555,102.557,97.205,99.921,98.316,98.813,99.562,94.969,93.73,89.27,96.632,91.22,87.564,95.341,6
166.0,190.0,0.9349,0.0259,-0.5975,0.5,-0.5,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,0.5,-0.5,-0.5,0.0,0.0,0.0,102.218,103.25,103.25,103.25,97.405,100.316,98.679,103.085,93.286,94.773,83.585,95.54,90.253,89.604,95.783,99.99,6
154.0,222.0,0.934,0.6171,-0.9601,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.5,-0.5,-1.0,1.0,-1.0,1.0,102.218,103.25,103.25,103.25,98.282,99.426,96.012,100.02,92.279,83.965,83.045,82.309,94.439,97.194,98.545,99.662,6
159.0,236.0,0.9109,0.1657,-1.0921,0.0,0.0,-1.0,1.0,0.5,-0.5,-0.5,0.5,0.5,-0.5,0.0,-0.5,-0.5,1.5,2.0,-2.0,101.802,102.829,100.077,102.83,96.913,98.905,98.281,95.252,95.216,89.972,84.198,79.729,86.928,90.24,92.266,98.631,6
166.0,227.0,0.886,-0.1336,-1.1631,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,-1.0,100.942,99.258,101.332,102.449,95.441,99.076,99.043,94.665,95.384,97.731,91.44,82.35,85.44,86.3,85.376,95.562,6
149.0,212.0,0.8752,-0.4157,-1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.0,0.0,0.0,0.5,-0.5,-1.0,1.0,98.852,101.517,102.188,101.218,96.8,96.455,102.038,94.676,95.179,89.197,91.96,91.98,90.724,98.914,94.418,98.757,6
169.0,221.0,0.9361,-0.0574,-0.9074,-0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-1.5,0.0,0.0,0.0,-0.5,102.196,103.232,103.232,103.231,98.445,100.788,98.98,100.826,97.281,95.406,93.175,93.371,90.308,91.317,93.619,98.097,6
160.0,219.0,0.91,0.1841,-1.0827,-0.5,0.5,0.0,0.0,-0.5,-0.5,-0.5,0.0,0.5,-0.5,1.0,0.0,0.0,1.5,-0.5,1.5,101.002,102.792,100.326,102.797,95.653,98.814,98.879,96.065,95.978,88.859,82.437,81.731,83.939,90.114,93.558,99.061,6
153.0,207.0,0.9401,0.1818,-1.0698,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.5,-0.5,0.5,-0.5,-1.0,1.0,0.5,-0.5,102.218,103.25,103.25,103.25,97.251,96.485,103.18,99.646,89.333,85.351,88.112,84.251,94.983,95.196,98.816,101.56,6
160.0,199.0,0.9197,0.0641,-0.8751,0.0,0.0,0.5,0.0,0.5,-0.5,0.0,0.0,-0.5,0.5,-0.5,0.5,-0.5,0.5,2.5,-2.0,101.718,103.031,103.028,103.026,96.077,99.844,97.963,100.254,97.037,87.55,83.332,89.246,87.264,93.145,97.052,100.666,6
152.0,232.0,0.9014,-0.2342,-1.087,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,-1.5,1.5,0.0,0.0,0.0,0.0,-0.5,0.5,100.64,102.633,102.607,99.522,95.633,96.692,100.822,94.389,94.095,91.871,87.019,90.005,90.701,94.377,94.628,101.597,6
150.0,192.0,0.9456,0.1347,-0.9125,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,-2.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-0.5,-1.5,102.218,103.25,103.25,103.25,98.423,98.64,100.593,100.323,88.439,85.324,83.647,93.039,95.74,100.037,102.698,103.132,6
